year,month,temp_moy,gap_temp,nb_disasters,nb_deaths,total_damages
1996,1,13.3380107406576,0.688588371019717,2,4,6e+06
1996,2,11.2277624909483,-1.84185359404045,0,0,0
1996,3,12.6737250237866,-1.89146875760527,0,0,0
1996,4,15.4740013742554,-0.619543147237842,0,0,0
1996,5,16.8821808740804,-1.15424323673255,0,0,0
1996,6,20.0849185946874,-0.0679693569170432,0,0,0
1996,7,20.5503705263159,-0.605040161353546,0,0,0
1996,8,20.1217949808593,-1.04339030130515,0,0,0
1996,9,18.0034918143081,-1.4910600613567,0,0,0
1996,10,17.0385215874399,-0.577055519520449,1,1,10000
1996,11,14.1874267027512,-0.645888364855621,0,0,0
1996,12,12.0091127786358,-1.10261128084859,0,0,0
1997,1,10.9710018009903,-1.67842056864755,1,23,0
1997,2,13.8342579374843,0.764641852495593,0,0,0
1997,3,15.513680104031,0.948486322639182,0,0,0
1997,4,16.2691468470433,0.175602325550059,1,0,1e+07
1997,5,18.5459439252337,0.509519814420777,0,0,0
1997,6,19.3944312952006,-0.758456656403787,0,0,0
1997,7,20.4331446409991,-0.722266046670374,1,0,0
1997,8,22.0822274176411,0.917042135476571,0,0,0
1997,9,19.9790350488022,0.484483173137367,0,0,0
1997,10,17.9636764395698,0.348099332609404,0,0,0
1997,11,15.4686162969469,0.635301229340099,0,0,0
1997,12,13.7126181353764,0.600894075892077,0,0,0
1998,1,13.3864897873234,0.7370674176855,2,15,1.5e+08
1998,2,14.0181395891688,0.948523504180017,0,0,0
1998,3,15.1654291845491,0.600235403157278,0,0,0
1998,4,15.4748267490618,-0.618717772431426,0,0,0
1998,5,18.6216573033708,0.585233192557858,0,0,0
1998,6,19.6656915949703,-0.487196356634108,0,0,0
1998,7,20.5548855291578,-0.600525158511687,0,0,0
1998,8,21.1567083153815,-0.00847696678298959,0,0,0
1998,9,19.4469390519188,-0.0476128237460323,0,0,0
1998,10,16.7860344827585,-0.829542624201888,0,0,0
1998,11,13.033360674413,-1.79995439319378,0,0,0
1998,12,12.3094797557111,-0.802244303773275,0,0,0
1999,1,12.696353426541,0.0469310569031833,1,0,0
1999,2,12.0392442011986,-1.03037188379015,2,11,10790000
1999,3,14.2612300683368,-0.303963713055056,0,0,0
1999,4,16.0277981231401,-0.0657463983531557,0,0,0
1999,5,18.7926233766234,0.756199265810448,1,3,0
1999,6,19.5018743109152,-0.651013640689254,0,0,0
1999,7,21.4538735529832,0.298462865313745,1,0,0
1999,8,21.1249362437866,-0.0402490383778371,0,0,0
1999,9,20.098544912924,0.603993037259208,0,0,0
1999,10,16.9563656683057,-0.659211438654737,0,0,0
1999,11,12.9162288340587,-1.91708623354807,1,36,5e+08
1999,12,12.3934728610853,-0.718251198399097,2,96,1.2e+10
2000,1,10.7935709160485,-1.85585145358935,0,0,0
2000,2,13.1267196309582,0.0571035459694311,0,0,0
2000,3,13.4251414982161,-1.14005228317572,0,0,0
2000,4,15.1068247821875,-0.986719739305686,0,0,0
2000,5,18.8122599374721,0.775835826659133,1,2,0
2000,6,20.3884316840673,0.235543732462904,1,1,0
2000,7,20.2199664579607,-0.935444229708796,1,1,0
2000,8,20.9587672145713,-0.206418067593194,0,0,0
2000,9,19.2501374255612,-0.244414450103623,1,6,0
2000,10,16.6583994559057,-0.957177651054661,0,0,0
2000,11,14.3842252862819,-0.449089781324922,1,1,0
2000,12,13.8576460293153,0.745921969830889,2,0,0
2001,1,12.8615418405447,0.21211947090687,1,0,0
2001,2,12.8374790318716,-0.232137053117196,0,0,0
2001,3,15.5183379266483,0.953144145256404,1,3,132350000
2001,4,15.1484273923712,-0.94511712912198,1,0,0
2001,5,18.2515397775877,0.215115666774743,0,0,0
2001,6,19.6703977396218,-0.482490211982583,0,0,0
2001,7,20.6522732169792,-0.503137470690312,3,12,0
2001,8,21.542952442436,0.377767160271489,0,0,0
2001,9,18.0972688605328,-1.39728301513202,0,0,0
2001,10,18.192427911072,0.576850804111647,1,2,0
2001,11,13.1468904912122,-1.68642457639456,0,0,0
2001,12,10.848972972973,-2.26275108651137,0,0,0
2002,1,12.2255736244153,-0.423848745222591,1,0,0
2002,2,13.4017283950617,0.33211231007299,0,0,0
2002,3,14.0152437628748,-0.549950018517038,0,0,0
2002,4,15.2451011959521,-0.848443325541133,0,0,0
2002,5,16.8887000662106,-1.1477240446023,0,0,0
2002,6,19.2488192552225,-0.904068696381916,0,0,0
2002,7,19.9390432098765,-1.21636747779299,0,0,0
2002,8,19.8917480998914,-1.27343718227308,1,0,0
2002,9,18.2896441605839,-1.20490771508087,1,23,1.19e+09
2002,10,16.8400568803325,-0.775520226627894,1,4,1e+06
2002,11,14.8642042863657,0.030889218758908,1,1,0
2002,12,13.5227864583333,0.411062398848957,0,0,0
2003,1,11.5261009914688,-1.12332137816909,2,2,50000
2003,2,11.3576893052303,-1.71192677975843,0,0,0
2003,3,14.8970993473532,0.331905565961295,1,1,0
2003,4,16.0761417519341,-0.0174027695590979,0,0,0
2003,5,17.9294566019179,-0.10696750889505,0,0,0
2003,6,22.2693917754248,2.11650382382036,0,0,0
2003,7,22.4605975064691,1.30518681879963,2,10,0
2003,8,23.9842605801236,2.81907529795911,1,19490,4.4e+09
2003,9,20.1540872920183,0.659535416353524,0,0,0
2003,10,16.3472105016409,-1.26836660531953,0,0,0
2003,11,14.9821578701541,0.148842802547334,0,0,0
2003,12,12.6908599729852,-0.420864086499208,1,9,1.5e+09
2004,1,12.7770506301128,0.127628260474928,0,0,0
2004,2,12.6587105949277,-0.410905490061063,0,0,0
